"Comment","Designator","Footprint","LCSC Part #"
"1000uF","C1","CP_Radial_D16.0mm_P7.50mm","C10750"
"0.33","C2,C4","C_0805_HandSoldering","C1740"
"0.1","C3","C_0805_HandSoldering","C49678"
"RB080","D1,D10,D11,D12,D13,D14,D15,D16,D17","SOD-128","C50603"
"4.7V","D2,D3,D4,D5,D6,D7,D8,D9","D_SOD-323_HandSoldering","C124651"
"5A SB","F1","Fuseholder5x20_horiz_open_lateral_Type-II","C3130"
"J137_IN_C","J1","Molex_KK-41791-9_9x3.96mm_Straight","C239400"
"J133_IN_R","J2","Molex_KK-6410-09_09x2.54mm_Straight","C509152"
"Conn_Power","J3","Molex_KK-41791-02_02x3.96mm_Straight","C239393"
"J133_OUT_R","J4","Molex_KK-6410-09_09x2.54mm_Straight","C509152"
"J137_OUT_C","J5","Molex_KK-41791-9_9x3.96mm_Straight","C239400"
"J134_OUT_R","J6","Molex_KK-6410-09_09x2.54mm_Straight","C509152"
"J138_OUT_C","J7","Molex_KK-41791-9_9x3.96mm_Straight","C239400"
"J135_OUT_R","J8","Molex_KK-6410-09_09x2.54mm_Straight","C509152"
"136_OUT_C","J9","Molex_KK-41791-03_03x3.96mm_Straight","C10585"
"FQP11P06","Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8","TO-220_Vertical","C693361"
"FQP13N06L","Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16","TO-220_Vertical","C243082"
"1k","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24","R_0805_HandSoldering","C17513"
"10k","R25,R27,R28,R29,R30,R31,R32,R33,R34,R44,R46,R48,R50,R52,R54,R56,R58,R59,R60,R61,R62,R63,R64,R65,R66","R_0805_HandSoldering","C17414"
"0.22","R26","R_2512_HandSoldering","C68608"
"2k","R35,R36,R37,R38,R39,R40,R41,R42","R_0805_HandSoldering","C17604"
"220","R43,R45,R47,R49,R51,R53,R55,R57","R_0805_HandSoldering","C17557"
"0","R67","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","C17477"
"CFG","SW1","SW_DIP_x4_W7.62mm_Slide","C559139"
"74LS165","U1,U2","SOIC-16_3.9x9.9mm_Pitch1.27mm","C5613"
"5V_Regulator","U3","TO-220_Vertical","C111887"
"74HC595","U5,U6","SOIC-16_3.9x9.9mm_Pitch1.27mm","C5947"
"ULN2803A","U7","SOIC-18W_7.5x11.6mm_Pitch1.27mm","C9683"
