Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0805_2012Metric,151.432500,-71.772500,0.000000,top
D2,LED,LED_0805_2012Metric,151.432500,-85.397500,0.000000,top
D3,LED,LED_0805_2012Metric,151.432500,-98.922500,0.000000,top
D4,LED,LED_0805_2012Metric,151.432500,-112.822500,0.000000,top
DIYPAD**,protopad,protopad,120.230000,-65.835000,0.000000,top
J1,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,115.000000,-109.945000,180.000000,top
J2,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,167.000000,-57.825000,90.000000,top
J3,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,167.000000,-129.850000,90.000000,top
J4,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,115.000000,-78.125000,180.000000,top
J5,Conn_01x02_Socket,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",168.825000,-74.433334,90.000000,top
J6,Conn_01x02_Socket,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",168.825000,-88.111667,90.000000,top
J7,Conn_01x02_Socket,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",168.825000,-101.790000,90.000000,top
J8,Conn_01x02_Socket,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",168.825000,-115.468334,90.000000,top
JP1,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,170.675000,-122.110000,-90.000000,top
R1,1k,R_0805_2012Metric,138.962500,-122.905000,0.000000,top
R2,220,R_0805_2012Metric,151.412500,-74.710000,180.000000,top
R3,220,R_0805_2012Metric,151.412500,-88.310000,180.000000,top
R4,220,R_0805_2012Metric,151.412500,-101.935000,180.000000,top
R5,220,R_0805_2012Metric,151.412500,-115.585000,180.000000,top
R6,1k,R_0805_2012Metric,151.412500,-68.835000,180.000000,top
R7,1k,R_0805_2012Metric,151.412500,-82.485000,180.000000,top
R8,1k,R_0805_2012Metric,151.412500,-95.910000,180.000000,top
R9,1k,R_0805_2012Metric,151.412500,-110.060000,180.000000,top
REF**,P3.96mm_pinpad,P3.96mm_pinpad,117.825000,-62.060000,0.000000,top
U1,74HC244,TSSOP-20_4.4x6.5mm_P0.65mm,125.900000,-116.505000,90.000000,top
U2,74HC595,SO-16_3.9x9.9mm_P1.27mm,138.800000,-114.780000,0.000000,top
U3,PC817,SMDIP-4_W9.53mm,157.800000,-71.735000,90.000000,top
U4,PC817,SMDIP-4_W9.53mm,157.800000,-85.435000,90.000000,top
U5,PC817,SMDIP-4_W9.53mm,157.800000,-99.135000,90.000000,top
U6,PC817,SMDIP-4_W9.53mm,157.800000,-112.835000,90.000000,top
AFTERGLOW,,afterglow,125.600000,-125.857500,0.000000,top
