"Comment","Designator","Footprint","LCSC Part #"
"0.33","C2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1740"
"0.1","C3,C4,C5","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28233"
"WS2812B","D1","LED_WS2812B-PLCC4","C2761795"
"4.7V","D2,D3,D4,D5,D6,D7,D8,D9","D_SOD-323_HandSoldering","C391551"
"1k","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24","R_0805_HandSoldering","C95781"
"10k","R25,R27,R28,R29,R30,R31,R32,R33,R34,R44,R46,R48,R50,R52,R54,R56,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R69,R70,R71","R_0805_HandSoldering","C84376"
"220","R26,R43,R45,R47,R49,R51,R53,R55,R57,R68","R_0805_HandSoldering","C17557"
"2k","R35,R36,R37,R38,R39,R40,R41,R42","R_0805_HandSoldering","C17604"
"74LS165","U1,U2","SOIC-16_3.9x9.9mm_Pitch1.27mm","C5613"
"74HC595","U5,U6","SOIC-16_3.9x9.9mm_Pitch1.27mm","C5947"
"ULN2803A","U7","SOIC-18W_7.5x11.6mm_Pitch1.27mm","C845537"
