Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
QR*****,ag_qr,ag_qr,115.250000,-54.550000,180.000000,bottom
A1 Arduino Nano,Arduino_Nano_v3.x,Arduino_Nano,101.800000,-85.200000,-90.000000,top
C1,1000uF,CP_Radial_D16.0mm_P7.50mm,89.500000,-35.500000,0.000000,top
C2,0.33,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.800000,-28.100000,0.000000,top
C3,0.1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.800000,-34.900000,0.000000,top
C4,0.33,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.500000,-109.900000,0.000000,top
C5,0.33,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,96.100000,-73.100000,90.000000,top
D1,WS2812B,LED_WS2812B-PLCC4,78.400000,-108.300000,180.000000,top
D2,4.7V,D_SOD-323_HandSoldering,102.691666,-46.025000,0.000000,top
D3,4.7V,D_SOD-323_HandSoldering,102.691666,-48.950000,0.000000,top
D4,4.7V,D_SOD-323_HandSoldering,102.691666,-51.840000,0.000000,top
D5,4.7V,D_SOD-323_HandSoldering,102.691666,-54.730000,0.000000,top
D6,4.7V,D_SOD-323_HandSoldering,102.691666,-57.620000,0.000000,top
D7,4.7V,D_SOD-323_HandSoldering,102.691666,-60.545000,0.000000,top
D8,4.7V,D_SOD-323_HandSoldering,102.675000,-63.400000,0.000000,top
D9,4.7V,D_SOD-323_HandSoldering,102.691666,-66.325000,0.000000,top
F1,5A SB,Fuseholder5x20_horiz_open_lateral_Type-II,90.250000,-18.750000,0.000000,top
G***,LOGO,bl_logo,112.100000,-38.700000,0.000000,top
HOLE1,MountingHole_5mm_Pad,MountingHole_5mm_Pad,72.200000,-22.200000,0.000000,top
HOLE2,MountingHole_5mm_Pad,MountingHole_5mm_Pad,122.700000,-22.200000,0.000000,top
HOLE3,MountingHole_5mm_Pad,MountingHole_5mm_Pad,122.700000,-187.200000,0.000000,top
HOLE4,MountingHole_5mm_Pad,MountingHole_5mm_Pad,72.200000,-187.200000,0.000000,top
J12_IN,J12_IN_R,Molex_KK-41791-12_10x3.96mm_Straight,127.500000,-75.500000,90.000000,top
J12_OUT,J12_OUT_R,Molex_KK-41791-12_10x3.96mm_Straight,127.500000,-175.500000,90.000000,top
J13_IN,J13_IN_C,Molex_KK-41791-10_10x3.96mm_Straight,67.500000,-32.000000,-90.000000,top
J13_OUT,J13_OUT_C,Molex_KK-41791-10_10x3.96mm_Straight,67.500000,-140.000000,-90.000000,top
Q1,FQP11P06,TO-220_Vertical,87.095000,-141.450000,90.000000,top
Q2,FQP11P06,TO-220_Vertical,94.545000,-141.450000,90.000000,top
Q3,FQP11P06,TO-220_Vertical,87.195000,-154.033333,90.000000,top
Q4,FQP11P06,TO-220_Vertical,94.545000,-154.033333,90.000000,top
Q5,FQP11P06,TO-220_Vertical,87.445000,-166.616666,90.000000,top
Q6,FQP11P06,TO-220_Vertical,94.545000,-166.616666,90.000000,top
Q7,FQP11P06,TO-220_Vertical,87.245000,-179.200000,90.000000,top
Q8,FQP11P06,TO-220_Vertical,94.545000,-179.200000,90.000000,top
Q9,FQP13N06L,TO-220_Vertical,101.895000,-179.240000,90.000000,top
Q10,FQP13N06L,TO-220_Vertical,109.295000,-179.240000,90.000000,top
Q11,FQP13N06L,TO-220_Vertical,101.895000,-166.640000,90.000000,top
Q12,FQP13N06L,TO-220_Vertical,109.295000,-166.640000,90.000000,top
Q13,FQP13N06L,TO-220_Vertical,101.895000,-154.040000,90.000000,top
Q14,FQP13N06L,TO-220_Vertical,109.295000,-154.040000,90.000000,top
Q15,FQP13N06L,TO-220_Vertical,102.095000,-141.440000,90.000000,top
Q16,FQP13N06L,TO-220_Vertical,109.295000,-141.440000,90.000000,top
Q17,FQP13N06L,TO-220_Vertical,102.095000,-128.640000,90.000000,top
Q18,FQP13N06L,TO-220_Vertical,109.295000,-128.640000,90.000000,top
R1,1k,R_0805_HandSoldering,92.558333,-46.060000,0.000000,top
R2,1k,R_0805_HandSoldering,92.558333,-48.950000,0.000000,top
R3,1k,R_0805_HandSoldering,92.558333,-51.840000,0.000000,top
R4,1k,R_0805_HandSoldering,92.558333,-54.730000,0.000000,top
R5,1k,R_0805_HandSoldering,92.558333,-57.620000,0.000000,top
R6,1k,R_0805_HandSoldering,92.558333,-60.510000,0.000000,top
R7,1k,R_0805_HandSoldering,92.550000,-63.400000,0.000000,top
R8,1k,R_0805_HandSoldering,92.558333,-66.290000,0.000000,top
R9,1k,R_0805_HandSoldering,112.825000,-66.290000,180.000000,top
R10,1k,R_0805_HandSoldering,112.825000,-63.400000,180.000000,top
R11,1k,R_0805_HandSoldering,112.825000,-60.510000,180.000000,top
R12,1k,R_0805_HandSoldering,112.825000,-57.620000,180.000000,top
R13,1k,R_0805_HandSoldering,112.825000,-54.730000,180.000000,top
R14,1k,R_0805_HandSoldering,112.825000,-51.840000,180.000000,top
R15,1k,R_0805_HandSoldering,112.825000,-48.950000,180.000000,top
R16,1k,R_0805_HandSoldering,112.825000,-46.060000,180.000000,top
R17,1k,R_0805_HandSoldering,82.075000,-46.060000,180.000000,top
R18,1k,R_0805_HandSoldering,82.075000,-48.950000,180.000000,top
R19,1k,R_0805_HandSoldering,82.075000,-51.840000,180.000000,top
R20,1k,R_0805_HandSoldering,82.075000,-54.730000,180.000000,top
R21,1k,R_0805_HandSoldering,82.075000,-57.620000,180.000000,top
R22,1k,R_0805_HandSoldering,82.075000,-60.510000,180.000000,top
R23,1k,R_0805_HandSoldering,82.075000,-63.400000,180.000000,top
R24,1k,R_0805_HandSoldering,82.075000,-66.290000,180.000000,top
R25,10k,R_0805_HandSoldering,86.950000,-106.350000,180.000000,top
R26,220,R_0805_HandSoldering,117.150000,-95.922216,0.000000,top
R27,10k,R_0805_HandSoldering,78.600000,-139.800000,180.000000,top
R28,10k,R_0805_HandSoldering,78.600000,-147.800000,180.000000,top
R29,10k,R_0805_HandSoldering,78.600000,-152.000000,180.000000,top
R30,10k,R_0805_HandSoldering,78.600000,-155.800000,180.000000,top
R31,10k,R_0805_HandSoldering,78.600000,-159.800000,180.000000,top
R32,10k,R_0805_HandSoldering,78.600000,-163.800000,180.000000,top
R33,10k,R_0805_HandSoldering,78.600000,-167.600000,180.000000,top
R34,10k,R_0805_HandSoldering,78.600000,-171.600000,180.000000,top
R35,2k,R_0805_HandSoldering,64.800000,-133.200000,0.000000,top
R36,2k,R_0805_HandSoldering,64.800000,-129.885710,0.000000,top
R37,2k,R_0805_HandSoldering,64.800000,-126.571425,0.000000,top
R38,2k,R_0805_HandSoldering,64.800000,-123.257140,0.000000,top
R39,2k,R_0805_HandSoldering,64.800000,-110.000000,0.000000,top
R40,2k,R_0805_HandSoldering,64.800000,-113.314285,0.000000,top
R41,2k,R_0805_HandSoldering,64.800000,-116.628570,0.000000,top
R42,2k,R_0805_HandSoldering,64.800000,-119.942855,0.000000,top
R43,220,R_0805_HandSoldering,117.150000,-121.927152,0.000000,top
R44,10k,R_0805_HandSoldering,127.250000,-121.927152,180.000000,top
R45,220,R_0805_HandSoldering,117.150000,-125.177777,0.000000,top
R46,10k,R_0805_HandSoldering,127.250000,-125.177777,180.000000,top
R47,220,R_0805_HandSoldering,117.150000,-115.425918,0.000000,top
R48,10k,R_0805_HandSoldering,127.250000,-115.425918,180.000000,top
R49,220,R_0805_HandSoldering,117.150000,-118.676535,0.000000,top
R50,10k,R_0805_HandSoldering,127.250000,-118.676535,180.000000,top
R51,220,R_0805_HandSoldering,117.150000,-108.924684,0.000000,top
R52,10k,R_0805_HandSoldering,127.250000,-108.924684,180.000000,top
R53,220,R_0805_HandSoldering,117.150000,-112.175301,0.000000,top
R54,10k,R_0805_HandSoldering,127.250000,-112.175301,180.000000,top
R55,220,R_0805_HandSoldering,117.150000,-99.172833,0.000000,top
R56,10k,R_0805_HandSoldering,127.250000,-99.172833,180.000000,top
R57,220,R_0805_HandSoldering,117.150000,-102.423450,0.000000,top
R58,10k,R_0805_HandSoldering,127.250000,-102.423450,180.000000,top
R59,10k,R_0805_HandSoldering,117.200000,-175.400000,180.000000,top
R60,10k,R_0805_HandSoldering,117.200000,-171.400000,180.000000,top
R61,10k,R_0805_HandSoldering,117.200000,-167.400000,180.000000,top
R62,10k,R_0805_HandSoldering,117.200000,-163.400000,180.000000,top
R63,10k,R_0805_HandSoldering,117.200000,-159.600000,180.000000,top
R64,10k,R_0805_HandSoldering,117.200000,-155.600000,180.000000,top
R65,10k,R_0805_HandSoldering,117.200000,-147.800000,180.000000,top
R66,10k,R_0805_HandSoldering,117.200000,-143.800000,180.000000,top
R67,10k,R_0805_HandSoldering,127.250000,-95.922216,180.000000,top
R68,220,R_0805_HandSoldering,117.150000,-105.674067,0.000000,top
R69,10k,R_0805_HandSoldering,127.250000,-105.674067,180.000000,top
R70,10k,R_0805_HandSoldering,117.200000,-139.800000,180.000000,top
R71,10k,R_0805_HandSoldering,117.200000,-135.800000,180.000000,top
SW1,CFG,SW_DIP_x4_W7.62mm_Slide,72.042500,-72.617500,-90.000000,top
TP1,TestPoint,Pin_Header_Straight_1x01_Pitch2.54mm,127.500000,-90.500000,90.000000,top
TP2,TestPoint,Pin_Header_Straight_1x01_Pitch2.54mm,127.500000,-81.500000,90.000000,top
TP3,TestPoint,Pin_Header_Straight_1x01_Pitch2.54mm,127.500000,-86.000000,90.000000,top
U1,74LS165,SOIC-16_3.9x9.9mm_Pitch1.27mm,84.750000,-74.925000,0.000000,top
U2,74LS165,SOIC-16_3.9x9.9mm_Pitch1.27mm,107.200000,-73.000000,0.000000,top
U3,5V_Regulator,TO-220_Vertical,79.175000,-32.200000,-90.000000,top
U5,74HC595,SOIC-16_3.9x9.9mm_Pitch1.27mm,97.200000,-112.600000,0.000000,top
U6,74HC595,SOIC-16_3.9x9.9mm_Pitch1.27mm,116.200000,-87.400000,0.000000,top
U7,ULN2803A,SOIC-18W_7.5x11.6mm_Pitch1.27mm,80.800000,-121.000000,180.000000,top
afterglow,,afterglow,80.747500,-185.272500,0.000000,top
